cat,file,gate,old_colors,new_colors,old_comp,new_comp,old_frag,new_frag,old_dark,new_dark,agree_pct
cartoons,cartoons_001.jpg,1,14,17,153,126,131,111,3183,3239,37.2
cartoons,cartoons_002.jpg,1,23,37,213,275,184,241,2928,2543,4.0
cartoons,cartoons_003.jpg,0,6,3,147,30,122,27,3255,3332,90.2
cartoons,cartoons_004.jpg,1,41,29,342,130,317,85,1212,939,21.2
cartoons,cartoons_005.jpg,0,10,12,301,284,293,239,143,218,32.4
cartoons,cartoons_006.jpg,0,9,8,566,424,538,403,414,571,45.7
cartoons,cartoons_007.jpg,1,10,18,193,297,158,248,2760,2330,33.6
cartoons,cartoons_008.jpg,0,9,7,547,280,493,236,238,454,65.7
cartoons,cartoons_009.jpg,0,10,8,526,270,488,218,395,613,48.7
cartoons,cartoons_010.jpg,0,8,6,286,166,252,145,700,784,69.1
cartoons,cartoons_011.jpg,0,9,9,349,259,288,171,479,574,47.1
cartoons,cartoons_012.jpg,0,7,5,285,136,226,115,979,1014,67.0
cartoons,cartoons_013.jpg,0,10,10,460,236,415,203,567,801,72.6
cartoons,cartoons_014.jpg,0,9,7,210,85,180,69,63,88,81.7
cartoons,cartoons_015.jpg,0,7,7,363,288,325,238,581,679,56.7
cartoons,cartoons_016.jpg,0,9,8,524,362,469,261,535,681,63.0
cartoons,cartoons_017.jpg,0,8,6,336,232,294,197,255,433,30.2
cartoons,cartoons_018.jpg,0,9,8,250,164,263,121,90,270,30.1
cartoons,cartoons_019.jpg,0,9,7,403,309,341,245,289,562,33.7
cartoons,cartoons_020.jpg,0,9,8,216,113,194,73,250,420,76.5
cartoons,cartoons_021.jpg,0,7,7,563,196,493,166,701,706,60.3
cartoons,cartoons_022.jpg,0,11,16,308,378,257,325,523,567,33.9
cartoons,cartoons_023.jpg,0,10,10,548,324,504,261,380,545,48.8
cartoons,cartoons_024.jpg,0,9,7,507,324,420,207,874,1153,41.5
cartoons,cartoons_025.jpg,0,10,8,728,398,676,376,411,1170,54.1
cartoons,cartoons_026.jpg,1,28,12,227,60,233,36,2788,2762,78.2
cartoons,cartoons_027.jpg,0,8,7,235,118,208,86,391,476,53.1
cartoons,cartoons_028.jpg,0,37,40,433,392,375,327,909,918,54.6
cartoons,cartoons_029.jpg,0,10,9,561,338,512,293,751,1042,48.2
cartoons,cartoons_030.jpg,0,3,2,4,125,4,112,0,0,79.0
cartoons,cartoons_031.jpg,0,9,7,199,118,175,104,1629,1889,81.5
cartoons,cartoons_032.jpg,0,9,8,317,192,275,154,754,889,56.6
cartoons,cartoons_033.jpg,0,8,12,252,149,221,117,1010,1082,70.7
cartoons,cartoons_034.jpg,0,27,36,305,352,265,322,504,622,59.2
cartoons,cartoons_035.jpg,0,11,20,588,1437,499,1518,221,1394,14.6
cartoons,cartoons_036.jpg,0,9,8,299,159,246,112,1156,1205,62.3
cartoons,cartoons_037.jpg,0,9,7,542,273,463,206,988,1173,52.6
cartoons,cartoons_038.jpg,0,7,7,102,29,110,29,3238,3339,4.4
cartoons,cartoons_039.jpg,0,9,8,365,261,331,239,201,503,47.7
cartoons,cartoons_040.jpg,1,16,30,493,480,421,391,926,804,41.6
cartoons,cartoons_041.jpg,0,19,19,591,483,539,473,114,484,65.7
cartoons,cartoons_042.jpg,0,23,9,339,104,328,81,94,217,5.3
cartoons,cartoons_043.jpg,0,10,8,631,399,574,301,1708,1864,59.1
cartoons,cartoons_044.jpg,0,8,8,639,398,568,335,1048,1146,53.7
cartoons,cartoons_045.jpg,0,8,7,459,318,395,283,687,778,68.0
cartoons,cartoons_046.jpg,0,9,7,232,100,199,79,300,435,71.1
cartoons,cartoons_047.jpg,0,7,8,357,207,365,179,633,689,48.6
cartoons,cartoons_048.jpg,0,10,8,510,315,457,250,535,615,49.4
cartoons,cartoons_049.jpg,0,8,5,379,145,365,152,3155,3257,83.0
lineart,lineart_001.jpg,0,17,21,219,243,210,237,1,132,12.0
lineart,lineart_002.jpg,0,5,4,721,246,633,260,0,2497,22.4
lineart,lineart_003.jpg,0,10,4,606,31,612,25,1599,1878,77.1
lineart,lineart_004.jpg,0,8,6,857,825,775,773,34,1576,25.7
lineart,lineart_006.jpg,0,8,7,636,329,570,289,1,914,34.1
lineart,lineart_007.jpg,0,10,4,261,33,282,31,502,649,90.7
lineart,lineart_008.jpg,0,10,3,367,80,375,66,90,507,82.4
lineart,lineart_009.jpg,0,6,3,34,12,32,11,0,45,98.2
lineart,lineart_010.jpg,0,7,22,691,1795,577,1794,3,1686,10.0
lineart,lineart_011.jpg,0,9,6,1029,290,957,256,450,1549,40.8
lineart,lineart_012.jpg,0,1,1,1,1,0,0,3364,3364,100.0
lineart,lineart_013.jpg,0,9,4,565,160,587,124,34,598,77.3
lineart,lineart_014.jpg,0,10,4,109,51,92,36,105,235,91.3
lineart,lineart_018.jpg,0,10,5,273,39,272,30,186,380,89.8
lineart,lineart_019.jpg,0,10,4,347,50,363,27,221,467,86.8
lineart,lineart_020.jpg,0,10,4,1364,364,1436,376,377,2087,26.4
lineart,lineart_021.jpg,0,11,15,647,455,603,399,1174,1790,60.2
lineart,lineart_023.jpg,0,10,4,327,64,289,50,163,514,83.4
lineart,lineart_024.jpg,0,10,4,442,68,469,55,262,639,82.8
lineart,lineart_025.jpg,0,16,14,280,122,289,106,157,508,81.5
