setting,bucket,lum,gate_pct,gated_mean_lum,gated_lum_lift,gated_de_lift,missed_dark,de_old_all,de_new_all
bucket=32,32,125,54.0,90.9,-7.58,9.11,3,8.28,14.83
bucket=48,48,125,54.0,90.9,-7.58,9.11,3,8.28,14.83
bucket=64,64,125,54.0,90.9,-7.58,9.11,3,8.28,14.83
bucket=96,96,125,54.0,90.9,-7.58,9.11,3,8.28,14.83
bucket=128,128,125,54.0,90.9,-7.58,9.11,3,8.28,14.83
lum=100,64,100,28.0,72.6,-6.02,8.77,2,8.28,13.11
lum=112,64,112,44.0,84.9,-6.12,8.65,2,8.28,13.96
lum=125,64,125,54.0,90.9,-7.58,9.11,3,8.28,14.83
lum=138,64,138,66.0,98.4,-8.27,9.33,4,8.28,15.61
lum=150,64,150,82.0,107.3,-8.61,9.46,4,8.28,16.6
