setting,lo,hi,n,frag2_old,frag2_new,frag_old,frag_new,dark_old,dark_new,colors_old,colors_new,de_old,de_new
lo=4,4,45,99,4.5,34.6,410.1,324.7,637.3,1076.5,10.9,11.0,4.81,12.59
lo=7,7,45,99,4.5,28.9,410.1,318.6,637.3,1023.3,10.9,10.8,4.81,12.02
lo=10,10,45,99,4.5,25.5,410.1,314.4,637.3,976.6,10.9,10.7,4.81,11.55
lo=15,15,45,99,4.5,20.7,410.1,299.8,637.3,900.7,10.9,10.5,4.81,10.8
lo=20,20,45,99,4.5,14.5,410.1,285.6,637.3,844.3,10.9,10.3,4.81,10.27
hi=30,10,30,99,4.5,24.7,410.1,317.5,637.3,952.3,10.9,10.6,4.81,11.44
hi=40,10,40,99,4.5,25.6,410.1,314.7,637.3,975.3,10.9,10.7,4.81,11.55
hi=45,10,45,99,4.5,25.5,410.1,314.4,637.3,976.6,10.9,10.7,4.81,11.55
hi=50,10,50,99,4.5,25.5,410.1,314.4,637.3,976.8,10.9,10.7,4.81,11.55
hi=60,10,60,99,4.5,25.5,410.1,314.4,637.3,976.8,10.9,10.7,4.81,11.55
