cat,file,gate,old_colors,new_colors,old_frag,new_frag,old_frag2,new_frag2,old_dark,new_dark,ol_old,ol_new,colout_old,colout_new,de_old,de_new,de_new_adj,de_delta,lum_dev_old,lum_dev_new,verdict,v12_colors,v12_frag,v12_frag2,v12_dark,ol_v12,colout_v12,de_v12,nfeat12,verdict12
cartoons,cartoons_001.jpg,1,14,17,131,111,0,4,3183,3239,22,0,0,28,12.694,18.34,10.428,5.647,7.16,8.52,better,14,116,4,3239,0,24,18.324,56,better
cartoons,cartoons_002.jpg,1,23,37,184,241,8,17,2928,2543,4,0,2,24,16.74,28.688,19.947,11.948,-0.81,13.01,equal,37,205,17,2543,0,24,28.656,34,equal
cartoons,cartoons_003.jpg,0,6,3,122,27,5,16,3255,3332,10,0,0,0,3.505,5.476,5.476,1.971,2.69,1.23,better,3,24,16,3332,0,0,5.499,13,better
cartoons,cartoons_004.jpg,1,41,29,317,85,0,0,1212,939,96,0,6,732,9.044,19.84,17.69,10.795,0.66,7.7,worse,28,80,0,939,0,730,19.824,53,worse
cartoons,cartoons_005.jpg,0,10,12,293,239,0,0,143,218,8,0,0,189,6.678,9.865,9.865,3.187,0.61,5.18,better,12,196,0,218,0,177,9.897,74,better
cartoons,cartoons_006.jpg,0,9,8,538,403,2,7,414,571,6,0,0,0,4.545,8.595,8.595,4.05,0.55,2.66,better,8,351,7,571,0,0,8.902,150,better
cartoons,cartoons_007.jpg,1,10,18,158,248,8,9,2760,2330,1,0,0,114,4.124,11.826,6.203,7.702,0.28,10.62,worse,18,218,9,2330,0,109,11.83,52,worse
cartoons,cartoons_008.jpg,0,9,7,493,236,0,8,238,454,4,0,0,0,3.211,5.637,5.637,2.426,0.42,2.01,better,7,209,8,454,0,0,5.629,79,better
cartoons,cartoons_009.jpg,0,10,8,488,218,5,12,395,613,24,0,0,0,3.868,8.383,8.383,4.515,0.21,2.15,better,8,202,12,612,0,0,8.862,156,better
cartoons,cartoons_010.jpg,0,8,6,252,145,0,8,700,784,15,0,0,0,4.421,6.861,6.861,2.44,1.51,4.23,better,6,118,8,784,0,0,6.876,51,better
cartoons,cartoons_011.jpg,0,9,9,288,171,0,5,479,574,37,0,0,75,4.511,8.356,8.356,3.845,0.39,4.12,better,8,151,5,574,0,75,8.481,95,better
cartoons,cartoons_012.jpg,0,7,5,226,115,2,6,979,1014,10,0,0,0,5.247,7.461,7.461,2.214,1.5,5.86,better,5,112,6,1014,0,0,7.462,5,better
cartoons,cartoons_013.jpg,0,10,10,415,203,0,12,567,801,65,0,0,1,2.496,6.755,6.755,4.258,0.37,-0.58,better,10,193,12,801,0,1,7.089,190,better
cartoons,cartoons_014.jpg,0,9,7,180,69,0,0,63,88,5,0,0,0,2.132,3.372,3.372,1.24,0.53,2.07,better,7,61,0,88,0,0,3.38,27,better
cartoons,cartoons_015.jpg,0,7,7,325,238,6,9,581,679,32,0,0,0,3.831,7.432,7.432,3.601,-0.04,3.61,better,7,212,9,679,0,0,7.464,68,better
cartoons,cartoons_016.jpg,0,9,8,469,261,15,13,535,681,2,0,0,0,4.205,6.752,6.752,2.547,0.49,2.88,better,9,218,13,680,0,0,6.737,76,better
cartoons,cartoons_017.jpg,0,8,6,294,197,0,0,255,433,5,0,0,0,4.337,8.21,8.21,3.872,0.7,4.67,better,6,168,0,433,0,0,8.246,110,better
cartoons,cartoons_018.jpg,0,9,8,263,121,0,5,90,270,14,0,0,0,3.419,9.239,9.239,5.82,-1.91,4.74,better,9,122,5,268,0,0,9.273,146,better
cartoons,cartoons_019.jpg,0,9,7,341,245,1,7,289,562,18,0,0,0,4.484,8.91,8.91,4.426,0.31,3.0,better,7,202,7,562,0,0,9.22,196,better
cartoons,cartoons_020.jpg,0,9,8,194,73,0,3,250,420,58,0,0,0,2.55,4.837,4.837,2.287,0.77,0.65,better,8,63,3,420,0,0,5.292,140,better
cartoons,cartoons_021.jpg,0,7,7,493,166,12,7,701,706,58,0,0,20,5.262,9.037,9.037,3.774,1.85,5.7,better,7,166,7,706,0,20,9.054,33,better
cartoons,cartoons_022.jpg,0,11,16,257,325,2,2,523,567,6,0,0,669,5.954,10.724,10.724,4.769,-0.73,4.41,better,16,288,2,567,0,664,10.727,57,better
cartoons,cartoons_023.jpg,0,10,10,504,261,2,3,380,545,34,0,0,13,3.426,8.314,8.314,4.888,-0.49,2.54,better,10,240,3,545,0,13,8.642,143,better
cartoons,cartoons_024.jpg,0,9,7,420,207,2,14,874,1153,23,0,0,0,4.331,8.353,8.353,4.023,0.36,3.13,better,7,163,14,1153,0,0,8.422,132,better
cartoons,cartoons_025.jpg,0,10,8,676,376,1,34,411,1170,148,0,0,0,2.687,16.476,16.476,13.789,0.68,-8.55,better,8,415,34,1170,0,0,17.435,706,better
cartoons,cartoons_026.jpg,1,28,12,233,36,3,10,2788,2762,74,0,2,66,4.937,9.513,11.391,4.577,1.36,3.71,better,13,38,10,2762,0,66,9.522,30,better
cartoons,cartoons_027.jpg,0,8,7,208,86,0,4,391,476,50,0,0,0,4.057,7.163,7.163,3.106,0.08,3.93,better,7,69,4,476,0,0,7.256,56,better
cartoons,cartoons_028.jpg,0,37,40,375,327,1,4,909,918,9,0,107,185,8.578,10.864,10.864,2.286,0.05,2.28,better,40,296,4,918,0,185,10.872,60,better
cartoons,cartoons_029.jpg,0,10,9,512,293,1,17,751,1042,67,0,0,2,4.093,10.738,10.738,6.644,1.19,1.21,better,9,308,17,1042,0,2,11.032,264,better
cartoons,cartoons_030.jpg,0,3,2,4,112,0,0,0,0,0,0,0,0,7.26,9.213,9.213,1.952,-1.66,0.69,better,2,112,0,0,0,0,9.213,0,better
cartoons,cartoons_031.jpg,0,9,7,175,104,0,2,1629,1889,77,0,0,0,4.208,8.034,8.034,3.827,3.07,0.89,better,8,104,2,1889,0,0,8.191,209,better
cartoons,cartoons_032.jpg,0,9,8,275,154,0,6,754,889,21,0,0,0,3.624,7.255,7.255,3.631,0.72,2.11,better,8,123,6,889,0,0,7.449,124,better
cartoons,cartoons_033.jpg,0,8,12,221,117,0,1,1010,1082,7,0,0,40,4.128,6.344,6.344,2.216,0.84,3.27,better,12,102,1,1082,0,40,6.361,40,better
cartoons,cartoons_034.jpg,0,27,36,265,322,7,4,504,622,6,0,290,230,10.879,13.795,13.795,2.916,1.21,3.02,better,34,312,4,622,0,230,13.802,127,better
cartoons,cartoons_035.jpg,0,11,20,499,1518,2,128,221,1394,25,0,0,17,5.781,22.92,22.92,17.139,-0.53,-9.57,better,20,1269,128,1394,0,3,23.685,987,better
cartoons,cartoons_036.jpg,0,9,8,246,112,3,11,1156,1205,31,0,0,0,4.346,6.773,6.773,2.427,0.12,3.94,better,8,105,11,1205,0,0,6.794,26,better
cartoons,cartoons_037.jpg,0,9,7,463,206,10,27,988,1173,37,0,0,0,4.4,7.961,7.961,3.561,0.16,2.91,better,8,175,27,1172,0,0,8.003,89,better
cartoons,cartoons_038.jpg,0,7,7,110,29,5,16,3238,3339,8,0,0,0,3.331,10.643,10.643,7.312,-2.88,9.03,better,7,35,16,3339,0,0,10.68,19,better
cartoons,cartoons_039.jpg,0,9,8,331,239,0,20,201,503,74,0,0,0,3.725,9.292,9.292,5.568,0.06,0.29,better,8,200,20,503,0,0,9.474,273,better
cartoons,cartoons_040.jpg,1,16,30,421,391,6,13,926,804,11,0,2,424,6.922,10.908,10.04,3.986,1.12,4.72,better,29,323,13,804,0,423,10.935,66,better
cartoons,cartoons_041.jpg,0,19,19,539,473,0,8,114,484,80,0,9,117,4.196,10.928,10.928,6.732,0.48,-1.81,better,18,427,8,484,0,101,11.036,338,better
cartoons,cartoons_042.jpg,0,23,9,328,81,0,3,94,217,80,0,0,0,6.545,9.615,9.615,3.069,-4.04,-2.09,better,8,64,3,217,0,0,9.614,110,better
cartoons,cartoons_043.jpg,0,10,8,574,301,12,19,1708,1864,15,0,0,0,3.81,7.323,7.323,3.513,-0.2,1.68,better,8,278,19,1864,0,0,7.393,88,better
cartoons,cartoons_044.jpg,0,8,8,568,335,30,48,1048,1146,12,0,0,0,4.237,9.155,9.155,4.918,-0.36,2.16,better,8,323,48,1146,0,0,9.228,73,better
cartoons,cartoons_045.jpg,0,8,7,395,283,9,14,687,778,20,0,0,0,4.499,7.185,7.185,2.686,1.54,4.11,better,7,250,14,778,0,0,7.201,54,better
cartoons,cartoons_046.jpg,0,9,7,199,79,3,5,300,435,92,0,0,0,3.178,6.745,6.745,3.567,1.14,1.04,better,7,97,5,435,0,0,6.884,122,better
cartoons,cartoons_047.jpg,0,7,8,365,179,4,3,633,689,9,0,0,9,3.529,7.073,7.073,3.544,-1.29,3.52,better,7,160,3,689,0,9,7.116,40,better
cartoons,cartoons_048.jpg,0,10,8,457,250,4,5,535,615,6,0,0,0,3.876,7.16,7.16,3.283,-0.41,3.82,better,8,225,5,615,0,0,7.201,55,better
cartoons,cartoons_049.jpg,0,8,5,365,152,38,62,3155,3257,10,0,0,0,3.726,6.655,6.655,2.929,2.97,0.99,better,6,148,62,3257,0,0,6.746,27,better
lineart,lineart_001.jpg,0,17,21,210,237,0,7,1,132,12,0,0,10,4.932,11.827,11.827,6.895,-2.6,6.85,better,23,209,6,122,0,9,11.575,163,better
lineart,lineart_002.jpg,0,5,4,633,260,0,133,0,2497,385,0,0,0,3.227,53.056,53.056,49.829,0.4,-52.12,better,4,343,133,2497,0,0,52.768,2497,better
lineart,lineart_003.jpg,0,10,4,612,25,78,14,1599,1878,260,0,0,0,2.864,9.486,9.486,6.622,1.93,-4.62,better,3,25,14,1878,0,0,9.503,121,better
lineart,lineart_004.jpg,0,8,6,775,773,0,89,34,1576,58,0,0,0,4.516,17.959,17.959,13.443,0.26,-9.31,better,5,770,89,1575,0,0,17.946,770,better
lineart,lineart_006.jpg,0,8,7,570,289,0,48,1,914,115,0,0,0,2.799,18.592,18.592,15.794,0.05,-6.83,better,8,389,48,913,0,0,19.167,886,better
lineart,lineart_007.jpg,0,10,4,282,31,0,3,502,649,28,0,0,0,1.167,4.246,4.246,3.079,0.74,-1.76,better,4,28,3,649,0,0,4.317,111,better
lineart,lineart_008.jpg,0,10,3,375,66,0,45,90,507,47,0,0,0,0.761,8.891,8.891,8.13,-0.0,-6.57,better,3,62,45,507,0,0,8.896,308,better
lineart,lineart_009.jpg,0,6,3,32,11,0,7,0,45,5,0,0,0,0.544,1.102,1.102,0.558,0.45,0.01,better,3,18,7,45,0,0,1.222,40,better
lineart,lineart_010.jpg,0,7,22,577,1794,0,174,3,1686,15,0,0,38,6.151,30.675,30.675,24.524,0.7,-16.29,better,17,1228,174,1686,0,16,30.616,1768,better
